date,cpu_index,old_cpu_index
2003/3/1,86.26357192,17.17
2003/4/1,62.89947717,42.11
2003/5/1,70.57107226,39.37
2003/6/1,67.13287061,40.7
2003/7/1,56.13459607,34.8
2003/8/1,69.99804211,39.11
2003/9/1,60.61973696,12.38
2003/10/1,50.96979809,7.74
2003/11/1,59.83214537,24.68
2003/12/1,68.71494404,53.01
2004/1/1,38.61809795,48.94
2004/2/1,67.40422286,37.15
2004/3/1,82.45697345,13.5
2004/4/1,43.6560779,21.9
2004/5/1,75.73579285,31.25
2004/6/1,76.40351578,35.38
2004/7/1,64.87805109,21.58
2004/8/1,44.4551359,41.4
2004/9/1,57.56079751,19.06
2004/10/1,106.964105,39.77
2004/11/1,61.64114862,54.78
2004/12/1,62.72790324,15.34
2005/1/1,66.64796341,23.9
2005/2/1,66.01685432,23.99
2005/3/1,63.7167658,36.88
2005/4/1,57.15721314,15.28
2005/5/1,56.46791712,4.43
2005/6/1,72.70385309,113.93
2005/7/1,94.03488199,50.18
2005/8/1,49.40855967,17.78
2005/9/1,106.6390575,44.24
2005/10/1,47.23708926,22.95
2005/11/1,38.17054774,19.92
2005/12/1,74.25979964,57.48
2006/1/1,35.13993325,31.01
2006/2/1,50.27802138,40.15
2006/3/1,52.31544467,35.94
2006/4/1,66.08489137,61.34
2006/5/1,73.70336115,56.97
2006/6/1,154.3690114,111.63
2006/7/1,28.16192749,61.66
2006/8/1,54.90004867,7.06
2006/9/1,39.54087432,7.96
2006/10/1,68.82703309,60.06
2006/11/1,108.0276738,129.35
2006/12/1,78.90933271,137.79
2007/1/1,144.0540974,176.91
2007/2/1,103.0612095,157.74
2007/3/1,144.2987446,156.06
2007/4/1,95.45865419,140.24
2007/5/1,73.13173818,130.34
2007/6/1,139.3785174,166.16
2007/7/1,95.55404747,38.18
2007/8/1,58.33753402,67.17
2007/9/1,78.43022502,120.62
2007/10/1,88.06308914,97.74
2007/11/1,110.1625404,109.03
2007/12/1,163.2573241,293.73
2008/1/1,94.64850879,105.78
2008/2/1,96.94351639,96.44
2008/3/1,55.12816288,61.98
2008/4/1,93.90177954,163.55
2008/5/1,85.66721683,107.29
2008/6/1,77.59509203,110.57
2008/7/1,109.0399252,184.06
2008/8/1,90.8978408,104.02
2008/9/1,100.1195376,110.09
2008/10/1,132.771247,133.45
2008/11/1,103.917627,131.96
2008/12/1,124.9957876,121.42
2009/1/1,104.2598946,125.93
2009/2/1,149.8963892,225.92
2009/3/1,128.8941015,143.8
2009/4/1,84.95848139,105.16
2009/5/1,87.87758408,83.73
2009/6/1,88.24678604,117.87
2009/7/1,71.64657962,112.78
2009/8/1,77.37370337,91.88
2009/9/1,97.78104702,118.27
2009/10/1,95.41781309,108.86
2009/11/1,94.59573833,129.48
2009/12/1,108.599606,240.6
2010/1/1,110.484442,182.71
2010/2/1,62.89395715,104.32
2010/3/1,78.89089656,75.35
2010/4/1,106.3566412,119.41
2010/5/1,160.3571125,87.88
2010/6/1,133.244876,87.43
2010/7/1,101.4714332,121.03
2010/8/1,117.5594535,83.01
2010/9/1,130.1349564,116.33
2010/10/1,111.2400513,96.35
2010/11/1,136.9150292,143.09
2010/12/1,101.3182573,49.48
2011/1/1,127.3389565,90.7
2011/2/1,98.93989728,64.26
2011/3/1,158.3348152,106.51
2011/4/1,156.5996617,87.35
2011/5/1,91.33076941,84.4
2011/6/1,59.11603107,90.63
2011/7/1,91.92938524,67.43
2011/8/1,110.5044995,31.82
2011/9/1,146.1423927,214.23
2011/10/1,119.1632996,74.09
2011/11/1,99.35573803,109.32
2011/12/1,116.1878298,76.31
2012/1/1,80.74488538,68.8
2012/2/1,112.6796531,56.86
2012/3/1,63.93076739,31.45
2012/4/1,73.02971107,32.64
2012/5/1,117.7498969,24.11
2012/6/1,111.2162288,74.17
2012/7/1,108.9114695,59.02
2012/8/1,119.2321322,83.16
2012/9/1,91.57525933,91.43
2012/10/1,83.92417188,87.26
2012/11/1,146.0921831,126.47
2012/12/1,92.05358948,64.37
2013/1/1,103.7850054,118.53
2013/2/1,66.40136197,25.14
2013/3/1,58.07249263,36.75
2013/4/1,93.14080833,70.78
2013/5/1,38.09209394,22.71
2013/6/1,68.2699011,65.5
2013/7/1,101.9347457,58.18
2013/8/1,50.58586036,11.78
2013/9/1,106.1156416,95.77
2013/10/1,100.5703927,98.58
2013/11/1,43.91390436,39.82
2013/12/1,99.90745339,68.49
2014/1/1,82.38285245,67.63
2014/2/1,104.5889229,95.92
2014/3/1,60.8667026,62.91
2014/4/1,87.16055423,86.5
2014/5/1,88.98038157,162.75
2014/6/1,72.20944563,90.9
2014/7/1,63.40941328,50.27
2014/8/1,96.42634615,62.79
2014/9/1,78.26364072,60.52
2014/10/1,54.67273781,45.52
2014/11/1,131.020044,165.87
2014/12/1,78.02819956,61.58
2015/1/1,103.8572101,66.31
2015/2/1,89.55959068,45.86
2015/3/1,80.16962581,43.8
2015/4/1,104.3895228,28.32
2015/5/1,125.8811864,88.89
2015/6/1,58.1676658,58.88
2015/7/1,52.34319462,31.03
2015/8/1,71.64043044,59.96
2015/9/1,104.818745,105.46
2015/10/1,82.56443505,135.23
2015/11/1,100.6703263,190.28
2015/12/1,137.3122441,163.66
2016/1/1,91.40321325,139.61
2016/2/1,49.12534465,37.72
2016/3/1,87.95350804,60.36
2016/4/1,108.1190625,118.23
2016/5/1,99.83579694,91.72
2016/6/1,120.3796358,93.84
2016/7/1,101.1825344,75.65
2016/8/1,77.09684887,91.67
2016/9/1,107.3175953,107.86
2016/10/1,104.6382294,87.51
2016/11/1,277.9767331,297.41
2016/12/1,223.5604902,296.74
2017/1/1,249.4481416,363.4
2017/2/1,247.5635413,181.28
2017/3/1,208.660623,247.83
2017/4/1,162.8100619,202.09
2017/5/1,188.2838042,170.26
2017/6/1,201.6878786,263.1
2017/7/1,150.6200572,186.36
2017/8/1,125.4631782,173.71
2017/9/1,102.3736787,151.62
2017/10/1,107.9960189,133.2
2017/11/1,150.3878823,221.65
2017/12/1,141.8917263,104.52
2018/1/1,120.6551214,92.65
2018/2/1,117.812332,52.6
2018/3/1,149.7899075,76.87
2018/4/1,171.0598216,148.38
2018/5/1,175.2114079,91.87
2018/6/1,150.5158108,94.04
2018/7/1,196.5221071,90.34
2018/8/1,143.6970221,123.58
2018/9/1,79.47310311,47.82
2018/10/1,103.7215692,111.89
2018/11/1,156.1780515,176.67
2018/12/1,154.8508354,103.59
2019/1/1,211.221614,185.25
2019/2/1,263.6796844,185.08
2019/3/1,165.9910569,187.66
2019/4/1,94.5296649,83.42
2019/5/1,116.1994316,140.1
2019/6/1,173.196342,137.02
2019/7/1,131.1424573,95.56
2019/8/1,188.6663965,140.97
2019/9/1,346.612379,629.02
2019/10/1,199.8493538,164.76
2019/11/1,170.0483914,157.05
2019/12/1,242.8845589,264.05
2020/1/1,209.3470847,268.8
2020/2/1,205.0062418,215.66
2020/3/1,276.603415,316.62
2020/4/1,245.285638,390.78
2020/5/1,221.9758722,177.38
2020/6/1,138.3028987,174.99
2020/7/1,133.1777329,224.2
2020/8/1,202.7847937,204.27
2020/9/1,184.3543472,217.45
2020/10/1,272.16406,340.73
2020/11/1,234.7634116,354.7
2020/12/1,299.8446191,378.94
2021/1/1,180.8233972,261.52
2021/2/1,207.0713994,257.23
2021/3/1,145.2818833,181.23
2021/4/1,103.877858,121.45
2021/5/1,167.901495,126.32
2021/6/1,176.7582079,145.76
2021/7/1,244.3479261,113.71
2021/8/1,95.08021794,143.07
